variant,action_macro_f1,gap_type_macro_f1,score,delta_action_macro_f1,delta_score
Full - no gap type classifier,0.6845420267082785,0.6268760222834802,0.3901863354037267,-0.0008361640972041062,0.03503105590062111
Full - no evidence sufficiency verifier,0.6853781908054826,0.6257539870254133,0.3551552795031056,0.0,0.0
Full - no self-consistency features,0.6104891365529663,0.5896920522810299,0.29416149068322983,-0.07488905425251624,-0.06099378881987577
Full - no question utility ranker,0.6845420267082785,0.6268760222834802,0.3901863354037267,-0.0008361640972041062,0.03503105590062111
Full - no evidence-side features,0.6645507006791966,0.5772782439948857,0.30472049689440983,-0.02082749012628593,-0.05043478260869577
Full - no model uncertainty features,0.6104891365529663,0.5896920522810299,0.29416149068322983,-0.07488905425251624,-0.06099378881987577
